,Lng,Lat,City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (m/s),Wind Speed (mph)
432,-120.25671772749216,61.37212331966132,fort nelson,ca,32.0,84.0,20.0,2.24,5.010745600000001
433,51.182045309476564,34.3951801172386,qom,ir,55.78,19.0,0.0,1.59,3.5567346000000004
434,-54.04254074514263,36.38120682504585,saint-pierre,pm,16.54,69.0,60.0,15.46,34.583092400000005
438,-17.673221505602733,57.03031523564962,vestmannaeyjar,is,33.28,63.0,100.0,15.05,33.665947
440,-17.202560764295537,19.566705370018912,nouadhibou,mr,70.72,42.0,0.0,17.81,39.8399014
442,36.93441997692288,-32.99546192913575,richards bay,za,74.5,80.0,0.0,5.91,13.2203154
443,23.649279902042352,46.4087748947353,livezile,ro,39.0,91.0,99.0,2.53,5.6594581999999996
445,-125.18836122504007,42.556018588280345,coos bay,us,41.02,93.0,1.0,3.06,6.845036400000001
448,-17.59350077600901,27.18797628193975,adeje,es,63.21,63.0,0.0,3.36,7.5161184
452,75.02124599041034,71.8082699771854,tazovskiy,ru,1.42,95.0,81.0,19.04,42.5913376
454,-105.558462736751,3.6088145220253276,acapulco,mx,78.8,78.0,40.0,3.11,6.956883400000001
457,-29.12257814209798,56.28739791633496,grindavik,is,30.2,63.0,100.0,20.8,46.528352000000005
458,-68.32335131390208,-17.807374321136482,patacamaya,bo,42.1,89.0,30.0,2.28,5.1002232
461,147.59997682821967,-22.901943565503004,emerald,au,83.61,58.0,90.0,11.41,25.523485400000002
463,165.3427288819291,-44.94461947170401,te anau,nz,50.38,85.0,95.0,6.6,14.763804
466,-6.987840321855021,37.87178816931546,valverde del camino,es,55.0,58.0,1.0,1.99,4.451510600000001
475,39.732135541290894,24.42110082922725,umm lajj,sa,82.42,14.0,0.0,2.17,4.854159800000001
478,22.75605832734009,48.3557273572223,mukacheve,ua,35.22,92.0,95.0,3.87,8.6569578
479,127.23876123340368,-20.742952589140984,kununurra,au,98.6,25.0,0.0,6.93,15.5019942
481,131.60653855385206,-23.822146151021318,yulara,au,98.6,11.0,0.0,8.05,18.007367000000002
482,163.50106652127388,-46.64328391607449,tuatapere,nz,53.01,80.0,100.0,8.99,20.110090600000003
483,129.8539373829471,64.03998118179452,namtsy,ru,12.2,56.0,100.0,6.71,15.009867400000001
484,-104.46997771653339,15.097048609809438,la orilla,mx,72.88,79.0,19.0,2.64,5.905521600000001
486,27.6812062833107,18.275749777618778,marawi,sd,82.42,15.0,0.0,8.93,19.9758742
487,118.59438121432382,61.574289600577636,suntar,ru,-5.78,87.0,94.0,4.5,10.066230000000001
490,18.01001621328688,37.89945739158015,crotone,it,46.6,81.0,40.0,11.74,26.261675600000004
494,92.93943947622465,64.55707920012193,severo-yeniseyskiy,ru,12.58,89.0,100.0,3.83,8.5674802
501,17.121427120560483,-13.569232003812925,kuito,ao,62.62,90.0,100.0,0.49,1.0961006
502,80.52626232509958,41.72066460564897,aksu,cn,45.34,18.0,80.0,4.9,10.961006000000001
505,-108.52292779197703,35.635644700370825,gallup,us,38.23,37.0,1.0,3.36,7.5161184
506,-165.54665425701805,-19.574279998328613,alofi,nu,82.4,83.0,97.0,3.36,7.5161184
507,139.79061550552035,-36.60334600843764,murray bridge,au,84.99,42.0,5.0,5.99,13.399270600000001
508,139.67974434511873,-21.136061695268214,mount isa,au,95.0,23.0,41.0,5.82,13.018990800000001
510,69.05364621075319,11.52859582747835,kavaratti,in,84.2,70.0,20.0,5.82,13.018990800000001
515,167.6661331872801,1.1643103287770518,bairiki,ki,78.8,88.0,90.0,19.46,43.53085240000001
516,141.28338698475955,50.926422358911196,de-kastri,ru,21.4,78.0,19.0,2.93,6.554234200000001
517,-108.49313220302889,33.38314495234586,silver city,us,46.11,70.0,1.0,4.7,10.513618000000001
518,7.8499379443413675,-29.90301895056302,luderitz,na,59.0,93.0,0.0,6.93,15.5019942
519,10.10757707953358,-31.896402460992302,oranjemund,na,63.34,81.0,100.0,5.1,11.408394
523,139.3320801260272,66.24781768056803,deputatskiy,ru,-23.06,93.0,48.0,1.52,3.4001488
524,52.99596812306409,66.00368511403211,shchelyayur,ru,,,,,
525,-155.16092295171907,-29.90990447237387,avera,pf,,,,,
528,-41.93706473945311,-10.869589363782195,irece,br,68.56,95.0,88.0,6.53,14.607218200000002
531,79.99747108966366,1.7831950826511789,matara,lk,91.96,44.0,13.0,7.61,17.023113400000003
533,106.63647998654311,-4.701790781838255,teluknaga,id,94.46,56.0,40.0,12.75,28.520985000000003
534,-26.08412590848581,61.097858274464,olafsvik,is,29.86,68.0,100.0,27.72,62.0079768
539,-12.227943270401154,52.7023393140761,dingle,ie,51.46,92.0,100.0,27.87,62.34351780000001
541,117.40828731841513,-1.124693699548518,balikpapan,id,84.2,79.0,40.0,3.36,7.5161184
542,22.509292958720483,25.731295269343025,jalu,ly,55.6,68.0,0.0,4.07,9.1043458
545,-28.7052458426464,8.634278098006408,sao filipe,cv,69.82,78.0,0.0,10.83,24.226060200000003
547,99.79486651964982,64.21368814413987,tura,ru,-14.24,76.0,5.0,3.74,8.3661556
548,-54.22529916006844,82.2559271106037,upernavik,gl,-29.18,98.0,45.0,8.48,18.969251200000002
549,129.98999620643735,42.215643646782866,khasan,ru,32.38,97.0,100.0,4.85,10.849159
550,154.1075479236061,-12.539918139422944,samarai,pg,81.88,83.0,100.0,3.27,7.3147938
552,88.4416516351045,59.97739172126414,teguldet,ru,21.04,91.0,97.0,9.35,20.915389
556,-50.571537119128585,-10.694063413006283,formoso do araguaia,br,,,,,
559,124.94382236194792,-5.564836080987479,katobu,id,90.16,56.0,32.0,6.85,15.323039
560,-149.27130940349608,-18.706951401857896,teahupoo,pf,84.13,70.0,90.0,3.36,7.5161184
566,-114.28601211043741,8.971350180667503,san patricio,mx,75.94,75.0,36.0,5.1,11.408394
571,134.79680618896316,27.587092224003097,kushima,jp,64.2,60.0,40.0,27.51,61.53821940000001
572,116.25946820231634,74.23304888989429,saskylakh,ru,-26.3,90.0,0.0,3.56,7.963506400000001
573,110.98121749758224,68.46632601959409,udachnyy,ru,-18.4,68.0,98.0,6.71,15.009867400000001
578,94.35445795996095,21.33421427533998,chauk,mm,89.98,18.0,0.0,4.54,10.155707600000001
580,-11.502244195626488,25.91667334417337,puerto del rosario,es,60.58,93.0,0.0,9.17,20.512739800000002
581,70.0941608015065,63.9515799312827,nadym,ru,27.16,82.0,100.0,20.51,45.87963940000001
582,-35.302316352741144,-50.019226342566455,chuy,uy,66.04,92.0,1.0,7.72,17.2691768
584,-68.42472915446447,-42.50166046833868,san carlos de bariloche,ar,48.2,68.0,24.0,5.82,13.018990800000001
585,-59.83970568933019,12.403125540297887,oistins,bb,77.0,78.0,75.0,17.22,38.5201068
590,-155.56243377807772,86.65245433106476,barrow,us,-22.0,74.0,1.0,4.7,10.513618000000001
592,-2.241711306336369,7.973228460906223,wenchi,gh,75.4,85.0,100.0,3.2,7.158208000000001
597,175.61522945262274,73.71481858138108,leningradskiy,ru,-11.54,87.0,100.0,4.54,10.155707600000001
598,-87.1162547897243,31.641549820479764,selma,us,57.02,54.0,1.0,6.93,15.5019942
599,143.50389348816248,-32.48220924798159,broken hill,au,77.0,69.0,75.0,10.29,23.0181126
603,-44.64445197566729,-17.740974090286286,varzea da palma,br,65.5,95.0,98.0,5.17,11.564979800000001
605,-62.84186664257181,-8.421146524198464,humaita,br,73.42,92.0,49.0,0.96,2.1474624
608,-110.06841879878012,37.0689762310089,cortez,us,32.83,55.0,1.0,6.89,15.4125166
611,-15.71684734752714,38.17124769595953,camacha,pt,60.8,82.0,20.0,9.17,20.512739800000002
612,-85.14833478273425,40.98077965907837,fort wayne,us,53.1,93.0,90.0,12.75,28.520985000000003
614,-50.08640622664595,10.505615850455142,sinnamary,gf,78.82,75.0,86.0,16.51,36.93187940000001
618,150.64199703062548,-26.806434101084907,dalby,au,75.11,73.0,75.0,17.22,38.5201068
619,165.54109108215377,63.21635312977806,kamenskoye,ru,,,,,
621,93.14882946308664,66.63861107566994,svetlogorsk,ru,42.8,93.0,90.0,8.95,20.020613
626,33.779673900693005,23.73262167882312,aswan,eg,60.8,31.0,0.0,6.93,15.5019942
627,47.00488207570703,-18.1272238514822,ankazobe,mg,69.8,77.0,75.0,11.41,25.523485400000002
632,-80.23132672419197,-26.63656595435314,coquimbo,cl,60.8,93.0,90.0,8.68,19.416639200000002
637,5.437187374872021,58.59757214255333,varhaug,no,39.88,86.0,75.0,16.11,36.0371034
642,-12.652307269861618,38.64903689023878,colares,pt,49.17,87.0,1.0,3.36,7.5161184
646,-152.9343289762386,59.7285267637868,homer,us,22.53,79.0,40.0,8.05,18.007367000000002
653,-103.49013611363058,48.57098486443524,williston,us,24.85,100.0,90.0,4.03,9.0148682
655,-53.8678896818747,17.88720914726879,bathsheba,bb,77.0,78.0,75.0,17.22,38.5201068
659,-101.64934093004034,15.175349935439398,san jeronimo,mx,64.27,77.0,75.0,3.36,7.5161184
660,18.17746863130698,-29.78564736594548,springbok,za,66.04,41.0,87.0,4.65,10.401771000000002
661,144.7278323975187,48.738766398222864,poronaysk,ru,23.02,88.0,100.0,5.19,11.6097186
663,-14.530876395225857,56.68317220086493,westport,ie,48.58,98.0,100.0,28.01,62.656689400000005
664,35.58353904231508,63.295420395452965,povenets,ru,34.18,98.0,100.0,9.66,21.608840400000002
665,114.98910115386877,48.721540303713304,nizhniy tsasuchey,ru,26.62,57.0,0.0,7.45,16.665203
669,28.89270719047532,55.15844870691687,disna,by,37.78,90.0,55.0,6.24,13.958505600000002
674,21.922144409232015,68.47732963413638,kautokeino,no,25.54,79.0,50.0,15.23,34.0685962
675,179.51153288041615,-22.109694584974637,isangel,vu,86.0,66.0,40.0,9.17,20.512739800000002
679,-84.29984719575873,22.27592159281332,mantua,cu,74.32,71.0,5.0,18.68,41.786039200000005
680,21.995088239238235,41.03867082907661,promakhoi,gr,,,,,
681,126.33592113175528,13.984803577197303,cabatuan,ph,88.18,54.0,0.0,7.94,17.7613036
687,-53.41485806014805,-9.2552519494572,alta floresta,br,70.54,96.0,98.0,2.33,5.2120702
692,-131.48185229046413,37.015143245989144,fortuna,us,42.67,87.0,1.0,1.39,3.1093466
694,-77.91956597802682,2.0478725005778298,magui,co,,,,,
701,136.48186241592228,24.190337903571802,naze,jp,66.2,77.0,75.0,16.11,36.0371034
702,-7.686497734976472,89.03244988390749,illoqqortoormiut,gl,,,,,
704,51.30037826952536,43.18761757901971,kuryk,kz,47.68,58.0,0.0,26.57,59.435495800000005
706,-26.921382724499487,37.205114217059155,arrifes,pt,60.8,67.0,75.0,13.87,31.0263578
707,-103.4246946805963,40.34280254591639,sterling,us,58.77,47.0,1.0,5.82,13.018990800000001
717,-154.89856527843844,27.426331730604637,kailua,us,70.54,64.0,90.0,13.87,31.0263578
722,12.494764651762669,5.8591733741845005,tibati,cm,63.7,37.0,17.0,1.01,2.2593094000000002
723,5.065856737385754,17.240798442377503,abalak,ne,70.54,9.0,64.0,5.61,12.549233400000002
725,33.036426556634105,38.283638625399576,eskil,tr,50.74,43.0,35.0,24.99,55.9011306
726,145.29824378052282,-10.294814681099274,port moresby,pg,91.4,59.0,40.0,17.22,38.5201068
728,70.33998239472592,50.82735066165719,astana,kz,24.8,79.0,90.0,4.47,9.9991218
732,172.53849782519478,-0.5449767889118662,tabiauea,ki,,,,,
736,-6.713417962087798,36.46884795286568,chipiona,es,55.72,54.0,0.0,8.05,18.007367000000002
742,-140.95074652126382,49.32549109745782,sitka,us,36.43,93.0,90.0,5.82,13.018990800000001
746,-127.983442259564,43.52412841761241,north bend,us,40.93,93.0,1.0,3.06,6.845036400000001
747,127.78840610225248,49.694839688827585,konstantinovka,ru,24.28,70.0,100.0,4.52,10.1109688
751,126.81643938753926,58.68127509354694,tommot,ru,13.84,70.0,100.0,11.95,26.731433
753,139.7209997360767,64.35501174625419,ust-nera,ru,-14.42,93.0,98.0,2.73,6.106846200000001
754,30.1245875304722,65.49700045895658,pyaozerskiy,ru,33.28,85.0,69.0,16.55,37.021357
756,-87.5928567693717,42.47988525272205,zion,us,48.15,87.0,90.0,9.17,20.512739800000002
757,25.018486370302085,4.243175214826211,zemio,cf,77.38,66.0,34.0,7.94,17.7613036
759,-32.933192943304654,-11.373710934914328,maceio,br,73.4,88.0,67.0,4.7,10.513618000000001
761,17.536837623385626,69.61577741232465,moen,no,31.23,97.0,90.0,35.57,79.56795580000001
763,-65.99960611203623,17.695463181483085,arroyo,us,51.91,37.0,90.0,5.82,13.018990800000001
764,-87.28112890267722,50.9956167874167,geraldton,ca,-5.8,83.0,40.0,2.24,5.010745600000001
767,-122.7891059580484,31.488055427400198,lompoc,us,55.27,54.0,1.0,4.7,10.513618000000001
770,141.91126976840772,42.213803559128436,shizunai,jp,41.92,97.0,100.0,6.76,15.1217144
773,88.43779811085793,35.54646188788181,lasa,cn,,,,,
775,-40.43621505374524,-22.715175573092672,sao joao da barra,br,75.22,84.0,0.0,2.66,5.9502604
779,101.83237878480303,51.82502801216818,kyren,ru,18.7,69.0,100.0,5.44,12.168953600000002
780,1.796586345063389,8.966506800694251,bassila,bj,73.96,86.0,27.0,0.54,1.2079476000000002
782,-82.48344058663398,45.79093754304279,little current,ca,41.59,100.0,90.0,3.36,7.5161184
786,107.7319126797591,6.502095357450144,bac lieu,vn,101.5,29.0,0.0,7.85,17.559979000000002
788,87.84328744385148,25.464569064744737,raghunathpur,in,89.01,35.0,0.0,6.87,15.3677778
790,-55.584487174365634,-13.886187954259677,diamantino,br,71.08,89.0,98.0,1.88,4.2054472
793,8.211655779291792,38.87872877098021,carbonia,it,45.3,93.0,0.0,10.29,23.0181126
794,124.2362563985391,68.7810112829027,zhigansk,ru,-16.94,91.0,100.0,16.93,37.871394200000005
795,-116.41302286031274,22.7122527960223,constitucion,mx,62.01,46.0,90.0,5.77,12.9071438
802,-53.326530907541446,67.67020276285153,kangaatsiaq,gl,8.26,93.0,100.0,16.91,37.8266554
803,-86.64821585633375,6.580035188223976,parrita,cr,68.9,60.0,13.0,24.16,54.0444704
806,-4.78197300049521,-0.31669989435846313,tabou,ci,77.92,94.0,100.0,2.51,5.6147194
807,-124.36283754689981,35.328117017289365,pacific grove,us,55.27,54.0,75.0,6.96,15.5691024
808,159.06080583493326,6.942422550962757,namatanai,pg,83.5,78.0,100.0,14.54,32.5251076
822,-7.187206059660345,55.049608950233356,londonderry,gb,45.34,92.0,100.0,9.91,22.168075400000003
823,141.08304927425806,21.717536247403235,shingu,jp,64.4,100.0,75.0,13.87,31.0263578
824,123.88095616195297,42.9645740988042,changtu,cn,36.7,53.0,60.0,12.39,27.7156866
827,144.79787975281909,-5.420651639798102,kundiawa,pg,62.62,94.0,100.0,2.21,4.9436374
837,-67.7611708089126,-44.1557079335491,comodoro rivadavia,ar,53.6,81.0,60.0,4.7,10.513618000000001
838,131.14030985087112,16.378271596589833,alugan,ph,81.16,71.0,78.0,8.55,19.125837000000004
844,-48.2460388766689,-5.8203738133241085,araguatins,br,,,,,
846,-128.27924611018022,59.237254236473404,smithers,ca,32.0,92.0,90.0,11.41,25.523485400000002
847,-80.82094203770941,39.6246135407918,moundsville,us,54.41,28.0,90.0,10.29,23.0181126
849,-101.208501790718,28.503508081976157,zaragoza,mx,67.48,84.0,100.0,8.95,20.020613
852,11.67650894486516,-7.559102452633216,soyo,ao,79.9,85.0,98.0,4.05,9.059607
855,-81.39904225154359,27.310490974966218,sebring,us,62.67,82.0,90.0,3.36,7.5161184
858,84.59857016378226,34.11922635615573,jumla,np,59.0,92.0,0.0,5.46,12.213692400000001
863,118.39152797013351,-31.009792472252208,northam,au,93.92,21.0,63.0,16.11,36.0371034
864,46.61844518198268,8.031160143655969,garowe,so,77.02,47.0,46.0,14.47,32.3685218
868,117.08158942694442,52.868064570925085,bukachacha,ru,19.96,72.0,0.0,6.17,13.8019198
869,145.66229916237404,56.38444784002029,okhotsk,ru,3.22,79.0,48.0,5.61,12.549233400000002
870,107.80849649500819,-3.9755941084759328,manggar,id,82.78,77.0,98.0,7.9,17.671826000000003
872,44.34362030014467,33.8503878974579,balad,iq,72.16,28.0,26.0,8.39,18.767926600000003
874,-97.86953594957247,-41.15404021257253,ancud,cl,50.56,87.0,52.0,4.83,10.804420200000001
875,-53.31727187762587,-2.7581125222802205,prainha,br,71.98,99.0,96.0,2.08,4.6528352
877,-36.04483579225513,14.36346105392442,porto novo,cv,66.2,88.0,20.0,8.05,18.007367000000002
880,-164.3733417528,68.55941389133467,nome,us,-14.21,68.0,1.0,1.34,2.9974996000000003
881,177.0436097107156,-0.8843200243115468,rungata,ki,,,,,
883,-140.73747454132413,65.7990163029712,mayo,ca,21.2,73.0,90.0,9.17,20.512739800000002
894,-106.70597831644622,37.186280738213895,alamosa,us,32.32,51.0,1.0,6.93,15.5019942
897,-14.854707988172677,19.033324243852366,nouakchott,mr,69.8,16.0,0.0,5.82,13.018990800000001
898,37.462942288203685,85.42318581851879,vardo,no,35.6,80.0,75.0,25.28,56.549843200000005
905,51.36617877205498,30.23467742374274,do gonbadan,ir,48.2,70.0,0.0,3.71,8.299047400000001
906,68.3395057448411,76.2867184744869,amderma,ru,,,,,
909,123.15132185070381,10.067409045264187,balogo,ph,85.84,60.0,3.0,5.82,13.018990800000001
912,32.57479054019512,-7.454639895846105,inyonga,tz,70.9,88.0,100.0,0.94,2.1027236
914,148.83425013234486,-21.17602180311198,mackay,au,82.45,74.0,75.0,19.46,43.53085240000001
917,164.2800542202446,-18.099090077153456,poum,nc,82.24,77.0,27.0,16.46,36.8200324
919,-107.49529330341335,23.563629930414642,la cruz,mx,73.6,55.0,100.0,2.17,4.854159800000001
926,-176.24183332720506,6.209180649425927,vaitupu,wf,,,,,
928,16.499138095862563,77.04886700541988,longyearbyen,sj,-11.2,63.0,40.0,6.93,15.5019942
929,83.83391771161912,1.4469185358516379,hambantota,lk,87.8,66.0,40.0,8.05,18.007367000000002
933,8.658683945617195,69.11807641345803,sorland,no,33.8,86.0,75.0,5.82,13.018990800000001
936,-58.176117988643725,-23.070834333156476,puerto pinasco,py,,,,,
940,-109.86271864470814,18.436369034456213,cabo san lucas,mx,71.8,49.0,90.0,6.93,15.5019942
944,-104.41810495125866,37.31127864187337,trinidad,us,40.37,35.0,1.0,10.29,23.0181126
946,158.87172858765223,-0.33712647583653554,kieta,pg,82.78,78.0,96.0,6.55,14.651957000000001
947,96.74897298190801,43.354116275244294,hami,cn,39.4,18.0,0.0,5.41,12.101845400000002
952,55.26351764840947,-14.462721454547045,antalaha,mg,82.6,79.0,78.0,20.2,45.186188
954,-83.20454335708769,-23.463898189487843,marcona,pe,,,,,
956,81.02038909282936,18.92789979390489,gidam,in,88.54,40.0,25.0,4.79,10.7149426
959,126.09542099557005,39.028732068869644,seoul,kr,45.68,81.0,90.0,3.36,7.5161184
963,0.3185701104698069,69.42553624844653,raudeberg,no,40.19,60.0,75.0,14.99,33.5317306
972,94.74954614865044,12.541305919852952,port blair,in,80.8,67.0,32.0,6.58,14.719065200000001
976,24.10406614884122,52.81067486121248,vawkavysk,by,32.0,83.0,90.0,8.95,20.020613
978,112.12688525190295,60.9929304068996,peleduy,ru,6.1,86.0,100.0,4.76,10.6478344
980,59.07824658740333,24.667105289671408,muscat,om,73.4,64.0,40.0,8.05,18.007367000000002
981,113.5091171190749,49.770840775424695,aksha,ru,21.76,70.0,3.0,3.96,8.8582824
986,42.65086312226363,46.97023664092009,zimovniki,ru,43.72,70.0,84.0,15.14,33.8672716
987,128.23532678296016,-59.72491868245321,portland,au,60.82,78.0,0.0,17.45,39.034603000000004
991,-114.79607382862085,54.14720965835013,barrhead,ca,24.8,38.0,1.0,11.41,25.523485400000002
995,34.86952500880223,8.45733248621885,dembi dolo,et,80.26,41.0,35.0,2.21,4.9436374
997,12.82216102567082,49.50047701074,domazlice,cz,34.02,91.0,75.0,4.7,10.513618000000001
1010,42.91926342218837,28.125234182664695,buraydah,sa,55.4,58.0,20.0,2.24,5.010745600000001
1012,48.86659183964264,29.089972450068668,bayan,kw,64.4,42.0,35.0,3.36,7.5161184
1016,156.48875268461674,30.85184041869885,hasaki,jp,62.58,93.0,75.0,9.17,20.512739800000002
1022,-93.18295947354208,20.33390963891072,paraiso,mx,75.94,80.0,18.0,21.63,48.3850122
1025,-75.48039010090358,-0.4629252425502606,puerto leguizamo,co,73.6,91.0,37.0,1.9,4.250186
1026,-74.44524147347539,72.19246948294376,clyde river,ca,-29.2,73.0,1.0,4.83,10.804420200000001
1027,118.92695423414656,18.718131544546058,davila,ph,86.0,74.0,20.0,8.05,18.007367000000002
1028,30.999122067762364,59.66122428752584,mga,ru,35.37,88.0,40.0,4.47,9.9991218
1029,-120.9528856685258,39.924828407822154,susanville,us,31.46,81.0,75.0,4.7,10.513618000000001
1033,8.923112710405313,56.596773142235804,skive,dk,41.02,93.0,100.0,10.29,23.0181126
1038,-18.458801546601023,64.1841886737599,akureyri,is,30.2,74.0,90.0,11.41,25.523485400000002
1044,66.25910236626294,34.526315372465746,panjab,af,20.86,90.0,100.0,4.68,10.4688792
1047,127.78521513505454,9.539285053799807,bacolod,ph,85.84,60.0,30.0,9.13,20.423262200000003
1050,23.71746859454802,50.742746265456326,hrubieszow,pl,36.52,81.0,48.0,3.36,7.5161184
1053,139.60076329226422,-13.43727880718002,nhulunbuy,au,77.0,94.0,75.0,8.05,18.007367000000002
1057,31.991453455530362,-18.684003066069877,rusape,zw,65.5,76.0,29.0,3.94,8.813543600000001
1063,31.412009234657056,-23.746204220322987,phalaborwa,za,73.42,71.0,0.0,3.0,6.71082
1068,-149.85937591003665,-16.898403037951127,papetoai,pf,84.11,70.0,90.0,3.36,7.5161184
1070,119.87874192193264,10.548948390296065,osmena,ph,82.24,75.0,0.0,9.01,20.1548294
1071,147.74124302531416,-13.750321924678111,cairns,au,77.07,94.0,75.0,2.24,5.010745600000001
1080,112.61996992017684,-1.584563374651271,sampit,id,96.82,39.0,20.0,4.29,9.5964726
1083,32.70678479180689,51.26076843551019,bakhmach,ua,46.78,93.0,46.0,8.16,18.253430400000003
1084,5.580354103962093,65.0355193784306,bud,no,32.76,66.0,40.0,4.7,10.513618000000001
1088,99.63861301289339,20.091443432324173,mae chan,th,84.2,42.0,0.0,5.82,13.018990800000001
1089,-74.21482055482342,19.952921359017704,baracoa,cu,75.04,75.0,88.0,20.89,46.729676600000005
1091,-0.8189099574142933,2.290093257549819,takoradi,gh,77.74,92.0,100.0,2.77,6.1963238
1095,113.02335867730211,46.813412118749,baruun-urt,mn,19.06,71.0,0.0,11.72,26.216936800000003
1096,144.04435879751423,-8.426078668370963,daru,pg,85.84,83.0,38.0,5.32,11.9005208
1097,25.752481659154537,5.5365716801392235,obo,cf,77.56,59.0,72.0,7.9,17.671826000000003
1106,-78.95685598065808,33.415923343178214,socastee,us,54.57,87.0,1.0,5.82,13.018990800000001
1111,169.22819907954627,-41.12366575756006,hokitika,nz,63.7,71.0,0.0,3.29,7.3595326000000005
1112,115.7426207904815,51.946767511896006,pervomayskiy,ru,48.58,78.0,100.0,14.16,31.675070400000003
1113,32.66901243857825,-13.932807172422967,chadiza,zm,67.84,85.0,70.0,4.18,9.3504092
1116,-72.29451458938046,51.356843071171575,dolbeau,ca,,,,,
1123,64.35735108831719,18.289290722773043,dwarka,in,73.6,72.0,0.0,13.51,30.2210594
1128,25.832762487838078,9.3684788400631,raga,sd,,,,,
1129,93.17960444471744,15.231457835228246,labutta,mm,,,,,
1131,37.43343714870522,22.730221010979733,jiddah,sa,,,,,
1132,57.97784297827653,45.615364732907715,beyneu,kz,43.72,52.0,36.0,12.06,26.977496400000003
1133,-44.28682994562927,12.31759413917678,cayenne,gf,78.8,74.0,75.0,8.05,18.007367000000002
1135,30.74998853491435,73.11873559581491,batsfjord,no,35.6,80.0,75.0,25.28,56.549843200000005
1138,-84.34548652865374,26.687872894589372,bayshore gardens,us,65.62,77.0,90.0,8.05,18.007367000000002
1151,98.70706836719914,45.835134716067536,hovd,mn,35.8,26.0,75.0,0.87,1.9461378
1155,7.818028993144854,-5.330320346799933,mayumba,ga,82.24,82.0,100.0,6.13,13.7124422
1156,-112.43143382579395,27.125423435545038,santa rosalia,mx,67.84,49.0,100.0,1.48,3.3106712000000003
1160,-62.00142732223761,-34.20097259558435,venado tuerto,ar,66.99,98.0,86.0,10.07,22.5259858
1164,-71.42109858150414,3.70792387237191,puerto gaitan,co,81.7,48.0,74.0,3.76,8.4108944
1168,-95.99759938599492,51.575300308052896,lac du bonnet,ca,9.0,86.0,13.0,5.01,11.2070694
1169,9.40918582251642,-15.193489307616959,namibe,ao,77.38,85.0,40.0,2.57,5.7489358
1171,84.088426567811,24.652052150481286,nabinagar,in,83.86,17.0,0.0,6.15,13.757181000000001
1176,175.94950646899596,-6.090053110562832,lolua,tv,,,,,
1181,171.89812152460505,-45.19993099711453,pareora,nz,55.99,94.0,100.0,14.0,31.31716
1186,-22.449208738082717,28.43921792124847,los llanos de aridane,es,64.67,59.0,0.0,9.17,20.512739800000002
1196,-113.98282371609194,28.78274090158034,san luis,mx,59.92,55.0,92.0,2.93,6.554234200000001
1197,36.44468480344483,43.83076576856889,taman,ru,62.38,33.0,97.0,22.37,50.040347800000006
1199,113.0818344440834,-6.030829579036901,bangkalan,id,86.74,73.0,55.0,6.02,13.4663788
